city_name,state_province,country,latitude,longitude,timezone
Patna,Tamil Nadu,India,21.383914,92.385924,Asia/Kolkata
Anantapur,Tamil Nadu,India,30.198933,71.919163,Asia/Kolkata
Rewa,Tripura,India,31.644335,84.62332,Asia/Kolkata
Aurangabad,Haryana,India,31.025466,68.86086,Asia/Kolkata
Shimoga,Uttarakhand,India,33.521054,69.641561,Asia/Kolkata
Machilipatnam,Gujarat,India,10.920107,71.417854,Asia/Kolkata
Serampore,Arunachal Pradesh,India,27.001119,89.143391,Asia/Kolkata
Mango,Nagaland,India,19.262588,81.015581,Asia/Kolkata
Parbhani,Bihar,India,34.990347,84.598981,Asia/Kolkata
Kota,Maharashtra,India,11.121347,81.616263,Asia/Kolkata
North Dumdum,Haryana,India,15.263144,77.082585,Asia/Kolkata
Mahbubnagar,Andhra Pradesh,India,29.357059,90.21289,Asia/Kolkata
Tenali,Kerala,India,10.167395,70.325436,Asia/Kolkata
Anantapur,Madhya Pradesh,India,16.467906,95.056649,Asia/Kolkata
Bellary,Manipur,India,11.091128,71.449082,Asia/Kolkata
Pune,Uttarakhand,India,23.615807,85.740026,Asia/Kolkata
Thrissur,Andhra Pradesh,India,23.207717,95.433569,Asia/Kolkata
Gangtok,Jharkhand,India,9.162093,85.439357,Asia/Kolkata
Chinsurah,Mizoram,India,11.674134,85.611241,Asia/Kolkata
Shimoga,Rajasthan,India,18.159331,95.255911,Asia/Kolkata
Avadi,Nagaland,India,22.235082,84.67069,Asia/Kolkata
Darbhanga,Rajasthan,India,31.526554,83.696006,Asia/Kolkata
Guntakal,Bihar,India,30.482195,91.950217,Asia/Kolkata
Etawah,Tripura,India,9.446116,95.564819,Asia/Kolkata
Begusarai,Uttarakhand,India,12.196723,84.964246,Asia/Kolkata
Sangli-Miraj & Kupwad,Mizoram,India,12.56001,96.75729,Asia/Kolkata
Bhalswa Jahangir Pur,West Bengal,India,22.346646,82.091772,Asia/Kolkata
Kulti,Uttar Pradesh,India,9.982117,91.46088,Asia/Kolkata
Siwan,Telangana,India,11.289119,83.590963,Asia/Kolkata
Raipur,Chhattisgarh,India,27.990697,71.333763,Asia/Kolkata
Belgaum,Karnataka,India,16.106953,79.160877,Asia/Kolkata
Haridwar,Haryana,India,36.077712,80.009136,Asia/Kolkata
Vijayanagaram,West Bengal,India,29.54647,86.80504,Asia/Kolkata
Fatehpur,Chhattisgarh,India,17.070077,71.685907,Asia/Kolkata
Pimpri-Chinchwad,Uttar Pradesh,India,15.203524,88.32019,Asia/Kolkata
Bharatpur,Sikkim,India,35.541907,79.277796,Asia/Kolkata
Kharagpur,Himachal Pradesh,India,26.834087,73.631492,Asia/Kolkata
Shimla,Karnataka,India,31.936315,91.54446,Asia/Kolkata
Nadiad,Manipur,India,19.671562,94.994339,Asia/Kolkata
Erode,Nagaland,India,21.533796,80.869547,Asia/Kolkata
Yamunanagar,Chhattisgarh,India,21.030222,81.795386,Asia/Kolkata
Mira-Bhayandar,Tamil Nadu,India,28.553294,94.900501,Asia/Kolkata
Vadodara,Tamil Nadu,India,34.851267,68.798579,Asia/Kolkata
Raebareli,Sikkim,India,32.178521,92.642123,Asia/Kolkata
Sikar,Odisha,India,23.143911,83.053412,Asia/Kolkata
Bellary,Haryana,India,31.570716,69.406398,Asia/Kolkata
Kottayam,Rajasthan,India,29.596452,92.577878,Asia/Kolkata
Madanapalle,Tripura,India,15.782855,70.41387,Asia/Kolkata
Hajipur,Jharkhand,India,29.250468,69.205189,Asia/Kolkata
Bhavnagar,Himachal Pradesh,India,33.526969,73.930955,Asia/Kolkata
Kota,Bihar,India,14.177573,76.541755,Asia/Kolkata
Ramgarh,Tripura,India,18.938682,88.108058,Asia/Kolkata
Ludhiana,Maharashtra,India,8.52367,90.873114,Asia/Kolkata
Pune,Mizoram,India,11.266735,77.515616,Asia/Kolkata
Madurai,Punjab,India,19.091258,90.734051,Asia/Kolkata
Vijayanagaram,Uttarakhand,India,30.695048,83.958947,Asia/Kolkata
Aurangabad,West Bengal,India,36.109689,76.21957,Asia/Kolkata
Howrah,Goa,India,32.11882,92.164823,Asia/Kolkata
Bareilly,Chhattisgarh,India,17.809799,93.07166,Asia/Kolkata
Mirzapur,Nagaland,India,30.006119,91.978372,Asia/Kolkata
Deoghar,Assam,India,13.690267,83.609653,Asia/Kolkata
Kolkata,Chhattisgarh,India,34.63786,77.678458,Asia/Kolkata
Bardhaman,Telangana,India,33.223127,68.319239,Asia/Kolkata
Amaravati,Punjab,India,34.164677,77.607298,Asia/Kolkata
Shivpuri,West Bengal,India,24.699648,73.024999,Asia/Kolkata
Khammam,Andhra Pradesh,India,11.808189,91.549534,Asia/Kolkata
Salem,Meghalaya,India,24.160473,84.311453,Asia/Kolkata
Asansol,Haryana,India,18.642061,69.610124,Asia/Kolkata
Udaipur,Karnataka,India,35.07864,92.436512,Asia/Kolkata
Singrauli,Sikkim,India,18.592812,94.994567,Asia/Kolkata
Dharmavaram,Nagaland,India,27.610385,77.507523,Asia/Kolkata
Ahmednagar,Chhattisgarh,India,16.135833,72.634762,Asia/Kolkata
Bongaigaon,Karnataka,India,25.854316,85.593437,Asia/Kolkata
Nagercoil,Bihar,India,13.345477,84.800068,Asia/Kolkata
Aurangabad,Karnataka,India,16.341806,70.004928,Asia/Kolkata
Mathura,Haryana,India,35.466093,80.52535,Asia/Kolkata
Avadi,Kerala,India,19.081189,82.982205,Asia/Kolkata
Bidhannagar,Punjab,India,25.624641,96.902814,Asia/Kolkata
Tiruchirappalli,Mizoram,India,24.239024,91.856636,Asia/Kolkata
Nagaon,Karnataka,India,10.748018,83.655547,Asia/Kolkata
Ambattur,Odisha,India,19.326605,79.078806,Asia/Kolkata
Pali,Goa,India,33.503981,74.094937,Asia/Kolkata
New Delhi,Gujarat,India,11.952215,87.530268,Asia/Kolkata
Raiganj,Rajasthan,India,18.646291,75.866138,Asia/Kolkata
Yamunanagar,Telangana,India,15.562098,85.110271,Asia/Kolkata
Firozabad,Haryana,India,19.320523,87.369696,Asia/Kolkata
Sikar,Uttar Pradesh,India,12.978559,75.704784,Asia/Kolkata
Gorakhpur,Arunachal Pradesh,India,10.448458,77.101941,Asia/Kolkata
Rajpur Sonarpur,Mizoram,India,9.421177,87.351585,Asia/Kolkata
Danapur,Maharashtra,India,32.395922,70.976192,Asia/Kolkata
Nandyal,Arunachal Pradesh,India,14.02167,68.494064,Asia/Kolkata
Rajahmundry,Goa,India,26.251511,79.260381,Asia/Kolkata
