route_id,origin_location_id,destination_location_id,base_distance_km,base_cost_per_kg_km,average_transit_time_days_standard
40283-48933,LOC-IN-40283,LOC-IN-48933,2654,0.000123,8
21944-26540,LOC-IN-21944,LOC-IN-26540,2891,0.000962,5
11813-22663,LOC-IN-11813,LOC-IN-22663,1145,0.000135,6
28624-10480,LOC-IN-28624,LOC-IN-10480,1664,0.00091,3
06966-13566,LOC-IN-06966,LOC-IN-13566,301,0.000391,9
31362-38036,LOC-IN-31362,LOC-IN-38036,1453,0.000235,6
49090-03597,LOC-IN-49090,LOC-IN-03597,2042,0.000977,3
28204-24532,LOC-IN-28204,LOC-IN-24532,2611,0.000352,6
22059-07036,LOC-IN-22059,LOC-IN-07036,2956,0.000388,4
38855-35062,LOC-IN-38855,LOC-IN-35062,349,0.000297,2
04253-05304,LOC-IN-04253,LOC-IN-05304,1422,0.00056,5
35920-25059,LOC-IN-35920,LOC-IN-25059,2359,0.000119,3
34238-24764,LOC-IN-34238,LOC-IN-24764,1286,0.000609,1
01381-18002,LOC-IN-01381,LOC-IN-18002,2235,0.000903,7
23373-21804,LOC-IN-23373,LOC-IN-21804,337,0.000822,6
42800-49594,LOC-IN-42800,LOC-IN-49594,2147,0.000165,5
05096-05443,LOC-IN-05096,LOC-IN-05443,1396,0.000179,4
38388-09421,LOC-IN-38388,LOC-IN-09421,456,0.000556,3
40681-27158,LOC-IN-40681,LOC-IN-27158,2691,0.000141,4
38921-31662,LOC-IN-38921,LOC-IN-31662,1305,0.000683,10
37040-09674,LOC-IN-37040,LOC-IN-09674,841,0.000477,3
05850-01805,LOC-IN-05850,LOC-IN-01805,248,0.000289,1
28951-09777,LOC-IN-28951,LOC-IN-09777,204,0.000226,5
20119-31446,LOC-IN-20119,LOC-IN-31446,1671,0.00024,9
23693-44716,LOC-IN-23693,LOC-IN-44716,1542,0.000897,6
42643-23851,LOC-IN-42643,LOC-IN-23851,2607,0.000176,9
08982-39271,LOC-IN-08982,LOC-IN-39271,767,0.000842,4
08311-26421,LOC-IN-08311,LOC-IN-26421,2321,0.000889,10
10169-20142,LOC-IN-10169,LOC-IN-20142,2066,0.000584,5
00847-40224,LOC-IN-00847,LOC-IN-40224,1422,0.000327,6
