forecast_id,city_name,forecast_timestamp,report_generated_at,condition,temperature_celsius,humidity_percent,wind_speed_kph,visibility_km,precipitation_mm_per_hour,warnings_advisories
WTHR-0000001,Nellore,2025-08-30 03:59:13,2025-08-29 19:56:13,Thunderstorms,15.6,51,17.2,1.5,15.4,Heavy Rain Warning
WTHR-0000002,Kolhapur,2025-09-01 04:59:13,2025-08-29 19:26:13,Light rain,14.4,66,0.8,11.6,3.7,None
WTHR-0000003,Bhimavaram,2025-08-30 16:59:13,2025-08-29 19:47:13,Clear skies,7.3,86,46.6,1.0,0.0,None
WTHR-0000004,Tirupati,2025-09-01 02:59:13,2025-08-29 19:00:13,Light rain,22.9,100,14.6,9.6,16.3,Heavy Rain Warning
WTHR-0000005,Fatehpur,2025-08-31 22:59:13,2025-08-29 19:27:13,Clear skies,17.9,86,49.3,4.9,0.0,None
WTHR-0000006,Meerut,2025-08-31 18:59:13,2025-08-29 19:12:13,Heavy rain,36.2,94,2.0,15.4,4.0,None
WTHR-0000007,Chapra,2025-08-29 22:59:13,2025-08-29 19:18:13,Clear skies,20.5,52,19.4,10.6,0.0,None
WTHR-0000008,Yamunanagar,2025-08-30 21:59:13,2025-08-29 19:25:13,Partly cloudy,41.8,87,31.4,2.5,0.0,Heat Wave Alert
WTHR-0000009,Bongaigaon,2025-08-30 22:59:13,2025-08-29 19:57:13,Light rain,10.6,30,6.9,8.7,7.0,Heavy Rain Warning
WTHR-0000010,Aizawl,2025-09-01 19:59:13,2025-08-29 19:53:13,Partly cloudy,37.4,76,33.4,10.4,0.0,None
WTHR-0000011,Dewas,2025-08-31 10:59:13,2025-08-29 19:35:13,Thunderstorms,42.9,56,45.6,16.4,10.5,Heavy Rain Warning
WTHR-0000012,Ambala,2025-08-31 14:59:13,2025-08-29 19:19:13,Clear skies,23.9,57,48.0,2.3,0.0,None
WTHR-0000013,Ichalkaranji,2025-08-31 04:59:13,2025-08-29 19:57:13,Partly cloudy,13.7,98,40.7,3.9,0.0,None
WTHR-0000014,Shimla,2025-09-01 16:59:13,2025-08-29 19:14:13,Clear skies,23.6,95,23.9,12.3,0.0,None
WTHR-0000015,Tinsukia,2025-09-01 15:59:13,2025-08-29 19:21:13,Partly cloudy,11.8,82,6.1,8.9,0.0,None
WTHR-0000016,Bhatpara,2025-08-29 19:59:13,2025-08-29 19:46:13,Fog,10.2,30,18.8,0.9,0.0,Fog Advisory
WTHR-0000017,Ozhukarai,2025-09-01 10:59:13,2025-08-29 19:11:13,Haze,7.9,96,12.4,1.6,0.0,Fog Advisory
WTHR-0000018,Pudukkottai,2025-08-31 08:59:13,2025-08-29 19:26:13,Fog,14.9,36,35.0,0.9,0.0,Fog Advisory
WTHR-0000019,Berhampore,2025-08-30 16:59:13,2025-08-29 19:16:13,Clear skies,11.6,49,22.2,13.5,0.0,None
WTHR-0000020,Machilipatnam,2025-08-29 21:59:13,2025-08-29 19:08:13,Clear skies,40.6,61,40.4,1.6,0.0,Heat Wave Alert
WTHR-0000021,Bhind,2025-08-30 04:59:13,2025-08-29 19:51:13,Light rain,26.3,46,46.6,13.8,5.2,Heavy Rain Warning
WTHR-0000022,Aurangabad,2025-08-31 02:59:13,2025-08-29 19:12:13,Cloudy,21.3,55,45.5,12.6,0.0,None
WTHR-0000023,Dewas,2025-08-31 14:59:13,2025-08-29 19:33:13,Haze,19.5,50,11.7,0.9,0.0,Fog Advisory
WTHR-0000024,Varanasi,2025-08-31 02:59:13,2025-08-29 19:29:13,Thunderstorms,9.0,45,44.4,1.0,14.4,Heavy Rain Warning
WTHR-0000025,Hindupur,2025-08-31 22:59:13,2025-08-29 19:35:13,Cloudy,36.0,33,31.1,15.0,0.0,None
WTHR-0000026,Gopalpur,2025-08-31 18:59:13,2025-08-29 19:36:13,Heavy rain,18.5,80,12.2,8.6,16.3,Heavy Rain Warning
WTHR-0000027,Jalandhar,2025-08-31 22:59:13,2025-08-29 19:58:13,Partly cloudy,39.6,81,44.2,14.6,0.0,None
WTHR-0000028,Sambhal,2025-09-01 08:59:13,2025-08-29 19:17:13,Heavy rain,7.3,85,23.8,11.7,3.1,None
WTHR-0000029,Farrukhabad,2025-08-30 07:59:13,2025-08-29 19:38:13,Light rain,33.5,79,19.9,1.4,6.1,Heavy Rain Warning
WTHR-0000030,Hindupur,2025-08-29 20:59:13,2025-08-29 19:36:13,Fog,19.9,78,49.6,0.3,0.0,Fog Advisory
WTHR-0000031,Raiganj,2025-09-01 10:59:13,2025-08-29 19:25:13,Thunderstorms,34.1,82,4.0,14.1,3.2,None
WTHR-0000032,Panchkula,2025-08-29 22:59:13,2025-08-29 19:12:13,Light rain,30.4,44,19.1,15.9,6.5,Heavy Rain Warning
WTHR-0000033,Kavali,2025-08-30 11:59:13,2025-08-29 19:04:13,Heavy rain,24.5,59,33.3,10.8,6.7,Heavy Rain Warning
WTHR-0000034,Muzaffarpur,2025-09-01 06:59:13,2025-08-29 19:44:13,Thunderstorms,28.3,46,16.5,8.7,11.2,Heavy Rain Warning
WTHR-0000035,Vijayawada,2025-08-30 13:59:13,2025-08-29 19:16:13,Light rain,36.4,52,48.4,9.4,2.9,None
WTHR-0000036,Kulti,2025-08-31 16:59:13,2025-08-29 19:26:13,Light rain,27.5,96,14.5,2.1,12.6,Heavy Rain Warning
WTHR-0000037,Erode,2025-08-31 08:59:13,2025-08-29 19:36:13,Fog,20.0,40,33.6,0.7,0.0,Fog Advisory
