forecast_id,item_id,warehouse_id,forecast_start_date,forecast_end_date,forecasted_quantity,confidence_level
FCAST-000001,PROD-00028,WH-IN-0465,2025-09-03,2025-12-02,549,0.65
FCAST-000002,PROD-00346,WH-IN-0774,2025-09-01,2025-09-16,833,0.75
FCAST-000003,PROD-00145,WH-IN-0287,2025-09-03,2025-09-18,1573,0.8
FCAST-000004,PROD-00845,WH-IN-0592,2025-09-04,2025-09-11,55,0.67
FCAST-000005,PROD-00584,WH-IN-0170,2025-09-03,2025-09-18,1148,0.81
FCAST-000006,PROD-00840,WH-IN-0848,2025-08-31,2025-11-29,1236,0.75
FCAST-000007,PROD-00166,WH-IN-0675,2025-09-01,2025-09-16,1677,0.88
FCAST-000008,PROD-00825,WH-IN-0800,2025-08-30,2025-09-14,1081,0.99
FCAST-000009,PROD-00162,WH-IN-0498,2025-09-02,2025-11-01,484,0.95
FCAST-000010,PROD-00159,WH-IN-0556,2025-08-31,2025-10-30,109,0.8
FCAST-000011,PROD-00156,WH-IN-0367,2025-09-05,2025-10-05,927,0.63
FCAST-000012,PROD-00414,WH-IN-0999,2025-08-30,2025-10-29,1705,0.87
FCAST-000013,PROD-00702,WH-IN-0204,2025-09-04,2025-12-03,1044,0.94
FCAST-000014,PROD-00177,WH-IN-0943,2025-08-29,2025-09-13,1734,0.9
FCAST-000015,PROD-00157,WH-IN-0658,2025-08-29,2025-09-13,1187,0.92
FCAST-000016,PROD-00226,WH-IN-0625,2025-09-03,2025-09-18,420,0.68
FCAST-000017,PROD-00866,WH-IN-0579,2025-09-03,2025-12-02,346,0.82
FCAST-000018,PROD-00729,WH-IN-0049,2025-09-05,2025-12-04,1999,0.66
FCAST-000019,PROD-00373,WH-IN-0848,2025-08-31,2025-09-30,1249,0.89
FCAST-000020,PROD-00973,WH-IN-0992,2025-09-01,2025-11-30,1274,0.87
FCAST-000021,PROD-00334,WH-IN-0043,2025-09-01,2025-11-30,1938,0.74
FCAST-000022,PROD-00456,WH-IN-0110,2025-09-02,2025-09-09,503,0.68
FCAST-000023,PROD-00157,WH-IN-0776,2025-09-04,2025-12-03,1672,0.62
FCAST-000024,PROD-00354,WH-IN-0527,2025-08-30,2025-09-29,1054,0.77
FCAST-000025,PROD-00521,WH-IN-0250,2025-08-29,2025-09-05,1517,0.75
FCAST-000026,PROD-00591,WH-IN-0577,2025-09-01,2025-11-30,1902,0.7
FCAST-000027,PROD-00823,WH-IN-0745,2025-09-04,2025-09-11,1914,0.92
FCAST-000028,PROD-00637,WH-IN-0748,2025-09-05,2025-11-04,992,0.79
FCAST-000029,PROD-00456,WH-IN-0580,2025-09-02,2025-09-09,1631,0.79
FCAST-000030,PROD-00879,WH-IN-0206,2025-08-30,2025-11-28,731,0.79
FCAST-000031,PROD-00883,WH-IN-0408,2025-09-01,2025-09-16,1405,0.85
FCAST-000032,PROD-00606,WH-IN-0898,2025-09-05,2025-11-04,1740,0.61
FCAST-000033,PROD-00668,WH-IN-0864,2025-09-01,2025-09-16,1367,0.87
FCAST-000034,PROD-00329,WH-IN-0641,2025-08-30,2025-09-06,456,0.72
FCAST-000035,PROD-00456,WH-IN-0576,2025-08-31,2025-09-30,1252,0.88
FCAST-000036,PROD-00829,WH-IN-0391,2025-08-31,2025-11-29,82,0.79
FCAST-000037,PROD-00625,WH-IN-0856,2025-09-05,2025-09-12,1300,0.92
FCAST-000038,PROD-00825,WH-IN-0522,2025-09-04,2025-10-04,1584,0.82
FCAST-000039,PROD-00274,WH-IN-0008,2025-09-03,2025-09-10,900,0.93
FCAST-000040,PROD-00959,WH-IN-0350,2025-08-31,2025-09-30,1529,0.66
FCAST-000041,PROD-00979,WH-IN-0570,2025-09-04,2025-12-03,1461,0.9
