location_id,city_name,state_province,country,latitude,longitude
LOC-IN-00001,Patna,Tamil Nadu,India,21.383914,92.385924
LOC-IN-00002,Anantapur,Tamil Nadu,India,30.198933,71.919163
LOC-IN-00003,Rewa,Tripura,India,31.644335,84.62332
LOC-IN-00004,Aurangabad,Haryana,India,31.025466,68.86086
LOC-IN-00005,Shimoga,Uttarakhand,India,33.521054,69.641561
LOC-IN-00006,Machilipatnam,Gujarat,India,10.920107,71.417854
LOC-IN-00007,Serampore,Arunachal Pradesh,India,27.001119,89.143391
LOC-IN-00008,Mango,Nagaland,India,19.262588,81.015581
LOC-IN-00009,Parbhani,Bihar,India,34.990347,84.598981
LOC-IN-00010,Kota,Maharashtra,India,11.121347,81.616263
LOC-IN-00011,North Dumdum,Haryana,India,15.263144,77.082585
LOC-IN-00012,Mahbubnagar,Andhra Pradesh,India,29.357059,90.21289
LOC-IN-00013,Tenali,Kerala,India,10.167395,70.325436
LOC-IN-00014,Anantapur,Madhya Pradesh,India,16.467906,95.056649
LOC-IN-00015,Bellary,Manipur,India,11.091128,71.449082
LOC-IN-00016,Pune,Uttarakhand,India,23.615807,85.740026
LOC-IN-00017,Thrissur,Andhra Pradesh,India,23.207717,95.433569
LOC-IN-00018,Gangtok,Jharkhand,India,9.162093,85.439357
LOC-IN-00019,Chinsurah,Mizoram,India,11.674134,85.611241
LOC-IN-00020,Shimoga,Rajasthan,India,18.159331,95.255911
LOC-IN-00021,Avadi,Nagaland,India,22.235082,84.67069
LOC-IN-00022,Darbhanga,Rajasthan,India,31.526554,83.696006
LOC-IN-00023,Guntakal,Bihar,India,30.482195,91.950217
LOC-IN-00024,Etawah,Tripura,India,9.446116,95.564819
LOC-IN-00025,Begusarai,Uttarakhand,India,12.196723,84.964246
LOC-IN-00026,Sangli-Miraj & Kupwad,Mizoram,India,12.56001,96.75729
LOC-IN-00027,Bhalswa Jahangir Pur,West Bengal,India,22.346646,82.091772
LOC-IN-00028,Kulti,Uttar Pradesh,India,9.982117,91.46088
LOC-IN-00029,Siwan,Telangana,India,11.289119,83.590963
LOC-IN-00030,Raipur,Chhattisgarh,India,27.990697,71.333763
LOC-IN-00031,Belgaum,Karnataka,India,16.106953,79.160877
LOC-IN-00032,Haridwar,Haryana,India,36.077712,80.009136
LOC-IN-00033,Vijayanagaram,West Bengal,India,29.54647,86.80504
LOC-IN-00034,Fatehpur,Chhattisgarh,India,17.070077,71.685907
LOC-IN-00035,Pimpri-Chinchwad,Uttar Pradesh,India,15.203524,88.32019
LOC-IN-00036,Bharatpur,Sikkim,India,35.541907,79.277796
LOC-IN-00037,Kharagpur,Himachal Pradesh,India,26.834087,73.631492
LOC-IN-00038,Shimla,Karnataka,India,31.936315,91.54446
LOC-IN-00039,Nadiad,Manipur,India,19.671562,94.994339
LOC-IN-00040,Erode,Nagaland,India,21.533796,80.869547
LOC-IN-00041,Yamunanagar,Chhattisgarh,India,21.030222,81.795386
LOC-IN-00042,Mira-Bhayandar,Tamil Nadu,India,28.553294,94.900501
LOC-IN-00043,Vadodara,Tamil Nadu,India,34.851267,68.798579
LOC-IN-00044,Raebareli,Sikkim,India,32.178521,92.642123
LOC-IN-00045,Sikar,Odisha,India,23.143911,83.053412
LOC-IN-00046,Bellary,Haryana,India,31.570716,69.406398
LOC-IN-00047,Kottayam,Rajasthan,India,29.596452,92.577878
LOC-IN-00048,Madanapalle,Tripura,India,15.782855,70.41387
LOC-IN-00049,Hajipur,Jharkhand,India,29.250468,69.205189
LOC-IN-00050,Bhavnagar,Himachal Pradesh,India,33.526969,73.930955
LOC-IN-00051,Kota,Bihar,India,14.177573,76.541755
LOC-IN-00052,Ramgarh,Tripura,India,18.938682,88.108058
LOC-IN-00053,Ludhiana,Maharashtra,India,8.52367,90.873114
LOC-IN-00054,Pune,Mizoram,India,11.266735,77.515616
LOC-IN-00055,Madurai,Punjab,India,19.091258,90.734051
LOC-IN-00056,Vijayanagaram,Uttarakhand,India,30.695048,83.958947
LOC-IN-00057,Aurangabad,West Bengal,India,36.109689,76.21957
LOC-IN-00058,Howrah,Goa,India,32.11882,92.164823
LOC-IN-00059,Bareilly,Chhattisgarh,India,17.809799,93.07166
LOC-IN-00060,Mirzapur,Nagaland,India,30.006119,91.978372
LOC-IN-00061,Deoghar,Assam,India,13.690267,83.609653
LOC-IN-00062,Kolkata,Chhattisgarh,India,34.63786,77.678458
LOC-IN-00063,Bardhaman,Telangana,India,33.223127,68.319239
LOC-IN-00064,Amaravati,Punjab,India,34.164677,77.607298
LOC-IN-00065,Shivpuri,West Bengal,India,24.699648,73.024999
LOC-IN-00066,Khammam,Andhra Pradesh,India,11.808189,91.549534
LOC-IN-00067,Salem,Meghalaya,India,24.160473,84.311453
LOC-IN-00068,Asansol,Haryana,India,18.642061,69.610124
LOC-IN-00069,Udaipur,Karnataka,India,35.07864,92.436512
LOC-IN-00070,Singrauli,Sikkim,India,18.592812,94.994567
LOC-IN-00071,Dharmavaram,Nagaland,India,27.610385,77.507523
LOC-IN-00072,Ahmednagar,Chhattisgarh,India,16.135833,72.634762
LOC-IN-00073,Bongaigaon,Karnataka,India,25.854316,85.593437
LOC-IN-00074,Nagercoil,Bihar,India,13.345477,84.800068
LOC-IN-00075,Aurangabad,Karnataka,India,16.341806,70.004928
LOC-IN-00076,Mathura,Haryana,India,35.466093,80.52535
LOC-IN-00077,Avadi,Kerala,India,19.081189,82.982205
LOC-IN-00078,Bidhannagar,Punjab,India,25.624641,96.902814
LOC-IN-00079,Tiruchirappalli,Mizoram,India,24.239024,91.856636
LOC-IN-00080,Nagaon,Karnataka,India,10.748018,83.655547
LOC-IN-00081,Ambattur,Odisha,India,19.326605,79.078806
LOC-IN-00082,Pali,Goa,India,33.503981,74.094937
LOC-IN-00083,New Delhi,Gujarat,India,11.952215,87.530268
LOC-IN-00084,Raiganj,Rajasthan,India,18.646291,75.866138
LOC-IN-00085,Yamunanagar,Telangana,India,15.562098,85.110271
LOC-IN-00086,Firozabad,Haryana,India,19.320523,87.369696
LOC-IN-00087,Sikar,Uttar Pradesh,India,12.978559,75.704784
LOC-IN-00088,Gorakhpur,Arunachal Pradesh,India,10.448458,77.101941
LOC-IN-00089,Rajpur Sonarpur,Mizoram,India,9.421177,87.351585
LOC-IN-00090,Danapur,Maharashtra,India,32.395922,70.976192
LOC-IN-00091,Nandyal,Arunachal Pradesh,India,14.02167,68.494064
LOC-IN-00092,Rajahmundry,Goa,India,26.251511,79.260381
LOC-IN-00093,Avadi,Gujarat,India,32.691109,93.019522
LOC-IN-00094,Fatehpur,Karnataka,India,15.160871,71.208145
LOC-IN-00095,Bathinda,Assam,India,36.373683,69.105919
LOC-IN-00096,Mau,Arunachal Pradesh,India,13.5458,73.493882
LOC-IN-00097,Vasai-Virar,Haryana,India,13.886435,91.805674
LOC-IN-00098,Chinsurah,Tamil Nadu,India,31.446595,81.848287
LOC-IN-00099,Kamarhati,Meghalaya,India,11.983411,85.545534
LOC-IN-00100,Hospet,Maharashtra,India,13.552815,69.667472
LOC-IN-00101,Jammu,Chhattisgarh,India,12.572074,92.718818
LOC-IN-00102,Kottayam,Assam,India,31.596053,89.989931
LOC-IN-00103,Bulandshahr,Kerala,India,35.471198,86.982768
LOC-IN-00104,North Dumdum,Gujarat,India,13.200873,77.611862
LOC-IN-00105,Agra,Nagaland,India,34.946062,83.637611
LOC-IN-00106,Coimbatore,Rajasthan,India,31.009259,91.551124
LOC-IN-00107,Patna,Bihar,India,15.159319,71.99383
LOC-IN-00108,Chittoor,Uttarakhand,India,15.457589,78.532253
LOC-IN-00109,Gorakhpur,Punjab,India,28.748184,78.501211
LOC-IN-00110,Jamshedpur,Goa,India,33.748489,71.225535
LOC-IN-00111,Kozhikode,Andhra Pradesh,India,31.084608,74.297702
LOC-IN-00112,Anantapuram,West Bengal,India,36.629667,76.607252
LOC-IN-00113,Tumkur,Goa,India,36.939044,71.532282
LOC-IN-00114,Ujjain,Bihar,India,11.576663,72.306386
LOC-IN-00115,Serampore,Telangana,India,8.81557,79.393187
LOC-IN-00116,Rewa,Sikkim,India,12.59461,79.025106
LOC-IN-00117,Vadodara,Gujarat,India,14.449756,87.620046
LOC-IN-00118,Patiala,Bihar,India,13.123971,88.334706
