confirmation_id,item_id,quantity,source_warehouse_id,destination_warehouse_id,schedule_date,estimated_arrival_date,status
RSTK-000001,PROD-00921,458,WH-IN-0045,WH-IN-0302,2025-09-04 19:59:12,2025-09-12 19:59:12,Cancelled
RSTK-000002,PROD-00495,436,WH-IN-0906,WH-IN-0988,2025-09-10 19:59:12,2025-09-19 19:59:12,Cancelled
RSTK-000003,PROD-00197,344,WH-IN-0249,WH-IN-0291,2025-09-04 19:59:12,2025-09-06 19:59:12,Scheduled
RSTK-000004,PROD-00189,757,WH-IN-0993,WH-IN-0026,2025-08-31 19:59:12,2025-09-09 19:59:12,Cancelled
RSTK-000005,PROD-00689,134,WH-IN-0579,WH-IN-0883,2025-09-10 19:59:12,2025-09-17 19:59:12,Scheduled
RSTK-000006,PROD-00472,156,WH-IN-0127,WH-IN-0544,2025-09-12 19:59:12,2025-09-15 19:59:12,Scheduled
RSTK-000007,PROD-00836,526,WH-IN-0834,WH-IN-0131,2025-09-08 19:59:12,2025-09-12 19:59:12,Scheduled
RSTK-000008,PROD-00866,114,WH-IN-0193,WH-IN-0930,2025-09-05 19:59:12,2025-09-11 19:59:12,Delivered
RSTK-000009,PROD-00844,668,WH-IN-0670,WH-IN-0321,2025-09-07 19:59:12,2025-09-17 19:59:12,Delivered
RSTK-000010,PROD-00888,522,WH-IN-0664,WH-IN-0102,2025-09-05 19:59:12,2025-09-08 19:59:12,Cancelled
RSTK-000011,PROD-00423,416,WH-IN-0215,WH-IN-0002,2025-09-09 19:59:12,2025-09-15 19:59:12,Delivered
RSTK-000012,PROD-00985,110,WH-IN-0444,WH-IN-0545,2025-09-09 19:59:12,2025-09-10 19:59:12,Scheduled
RSTK-000013,PROD-00737,406,WH-IN-0878,WH-IN-0952,2025-08-31 19:59:12,2025-09-05 19:59:12,Cancelled
RSTK-000014,PROD-00890,918,WH-IN-0346,WH-IN-0591,2025-09-07 19:59:12,2025-09-09 19:59:12,Cancelled
RSTK-000015,PROD-00614,509,WH-IN-0867,WH-IN-0451,2025-09-04 19:59:12,2025-09-09 19:59:12,In Transit
RSTK-000016,PROD-00851,396,WH-IN-0498,WH-IN-0288,2025-09-12 19:59:12,2025-09-13 19:59:12,Cancelled
RSTK-000017,PROD-00096,739,WH-IN-0711,WH-IN-0433,2025-09-03 19:59:12,2025-09-10 19:59:12,Cancelled
RSTK-000018,PROD-00540,66,WH-IN-0829,WH-IN-0410,2025-09-06 19:59:12,2025-09-16 19:59:12,In Transit
RSTK-000019,PROD-00819,631,WH-IN-0556,WH-IN-0080,2025-09-09 19:59:12,2025-09-18 19:59:12,Scheduled
RSTK-000020,PROD-00570,793,WH-IN-0084,WH-IN-0419,2025-09-10 19:59:12,2025-09-14 19:59:12,Delivered
