sale_id,item_id,warehouse_id,sale_date,quantity_sold,unit_price
SALE-0000001,PROD-00707,WH-IN-0070,2025-04-16,12,356.64
SALE-0000002,PROD-00734,WH-IN-0861,2025-06-28,77,4819.33
SALE-0000003,PROD-00162,WH-IN-0367,2024-12-05,24,5692.25
SALE-0000004,PROD-00218,WH-IN-0368,2025-01-23,76,5431.38
SALE-0000005,PROD-00967,WH-IN-0169,2024-12-18,28,10830.49
SALE-0000006,PROD-00558,WH-IN-0021,2025-03-03,69,2360.32
SALE-0000007,PROD-00803,WH-IN-0312,2025-03-10,17,500.14
SALE-0000008,PROD-00342,WH-IN-0236,2024-12-24,68,5158.33
SALE-0000009,PROD-00503,WH-IN-0024,2024-10-03,28,4973.46
SALE-0000010,PROD-00634,WH-IN-0402,2025-08-05,66,1386.87
SALE-0000011,PROD-00499,WH-IN-0118,2025-04-23,94,9395.58
SALE-0000012,PROD-00247,WH-IN-0035,2025-02-21,26,4531.69
SALE-0000013,PROD-00128,WH-IN-0853,2025-01-07,87,1619.22
SALE-0000014,PROD-00999,WH-IN-0385,2025-02-11,72,7876.7
SALE-0000015,PROD-00064,WH-IN-0820,2024-12-29,9,3016.58
SALE-0000016,PROD-00443,WH-IN-0441,2024-11-19,99,1503.6
SALE-0000017,PROD-00226,WH-IN-0547,2025-04-06,86,4069.3
SALE-0000018,PROD-00284,WH-IN-0262,2025-04-27,45,10987.88
SALE-0000019,PROD-00676,WH-IN-0297,2024-11-23,77,9138.67
SALE-0000020,PROD-00102,WH-IN-0482,2025-01-12,53,8473.94
SALE-0000021,PROD-00969,WH-IN-0894,2025-06-21,57,3105.22
SALE-0000022,PROD-00633,WH-IN-0043,2025-05-05,50,9144.29
SALE-0000023,PROD-00037,WH-IN-0972,2025-04-05,81,5277.56
SALE-0000024,PROD-00098,WH-IN-0593,2024-11-14,53,5374.75
SALE-0000025,PROD-00699,WH-IN-0395,2025-07-15,96,3870.4
SALE-0000026,PROD-00415,WH-IN-0622,2025-08-20,49,1332.36
SALE-0000027,PROD-00172,WH-IN-0972,2025-04-04,92,169.68
