stock_id,warehouse_id,item_id,current_quantity,last_updated
STK-000001,WH-IN-0536,PROD-00433,1307,2025-07-31 19:59:12
STK-000002,WH-IN-0613,PROD-00957,933,2025-08-28 19:59:12
STK-000003,WH-IN-0324,PROD-00307,1840,2025-08-01 19:59:12
STK-000004,WH-IN-0621,PROD-00075,292,2025-08-27 19:59:12
STK-000005,WH-IN-0304,PROD-00370,1468,2025-08-01 19:59:12
STK-000006,WH-IN-0700,PROD-00386,1246,2025-08-14 19:59:12
STK-000007,WH-IN-0787,PROD-00251,704,2025-08-21 19:59:12
STK-000008,WH-IN-0795,PROD-00188,365,2025-08-27 19:59:12
STK-000009,WH-IN-0704,PROD-00730,1179,2025-08-20 19:59:12
STK-000010,WH-IN-0961,PROD-00115,1909,2025-08-05 19:59:12
STK-000011,WH-IN-0460,PROD-00989,1065,2025-08-27 19:59:12
STK-000012,WH-IN-0537,PROD-00412,913,2025-08-05 19:59:12
STK-000013,WH-IN-0818,PROD-00939,62,2025-08-27 19:59:12
STK-000014,WH-IN-0208,PROD-00091,897,2025-08-19 19:59:12
STK-000015,WH-IN-0541,PROD-00719,1712,2025-07-31 19:59:12
STK-000016,WH-IN-0173,PROD-00165,126,2025-08-09 19:59:12
STK-000017,WH-IN-0421,PROD-00973,299,2025-08-05 19:59:12
STK-000018,WH-IN-0272,PROD-00194,529,2025-07-31 19:59:12
STK-000019,WH-IN-0057,PROD-00459,1226,2025-08-18 19:59:12
STK-000020,WH-IN-0183,PROD-00916,700,2025-08-20 19:59:12
STK-000021,WH-IN-0491,PROD-00247,1020,2025-08-08 19:59:12
STK-000022,WH-IN-0153,PROD-00772,1628,2025-07-31 19:59:12
STK-000023,WH-IN-0015,PROD-00084,287,2025-08-11 19:59:12
STK-000024,WH-IN-0168,PROD-00939,685,2025-08-12 19:59:12
STK-000025,WH-IN-0930,PROD-00242,413,2025-08-11 19:59:12
STK-000026,WH-IN-0634,PROD-00440,968,2025-08-09 19:59:12
STK-000027,WH-IN-0070,PROD-00087,1182,2025-08-10 19:59:12
STK-000028,WH-IN-0905,PROD-00337,566,2025-08-12 19:59:12
STK-000029,WH-IN-0025,PROD-00368,1730,2025-08-29 19:59:12
STK-000030,WH-IN-0052,PROD-00225,1398,2025-08-17 19:59:12
STK-000031,WH-IN-0493,PROD-00264,1405,2025-08-06 19:59:12
STK-000032,WH-IN-0926,PROD-00425,982,2025-08-25 19:59:12
STK-000033,WH-IN-0032,PROD-00052,343,2025-07-30 19:59:12
STK-000034,WH-IN-0284,PROD-00292,1222,2025-08-05 19:59:12
STK-000035,WH-IN-0581,PROD-00540,1976,2025-08-18 19:59:12
STK-000036,WH-IN-0685,PROD-00276,1434,2025-08-20 19:59:12
STK-000037,WH-IN-0674,PROD-00827,384,2025-08-07 19:59:12
